Date,City,Cause of Death
10/10/2007,Wattana District -  Bangkok -  Thailand,Suicide
10/10/2007, ratchathewi -  Bangkok -  Thailand,Suicide
10/29/2007,Nakhon Pathom -  Thailand,Suicide
11/21/2007,Km1 Sattahip District -  Chonburi -  Thailand,Veh. Accid-Auto
11/24/2007,Lamung -  Chonburi -  Thailand,Other Accident
12/03/2007,Bangkok Expressway -  Nonthaburi -  Bangkok -  Thailand,Veh. Accid-Auto
01/14/2008,Bangkok -  Thailand,Suicide
02/26/2008,Parachuabkerekan -  Thailand,Other Accident
03/22/2008,Maichiang Mai -  Thailand,Execution
04/08/2008,Phuket -  Thailand,Suicide
04/18/2008,Pattaya Route 2 Road -  Nong Prue -  Chon Buri -  Thailand,Veh. Accid-Motorcy.
04/18/2008,Phitsanulok-uttaradit Road -  Moo 5t -  Phitsanulok -  Thailand,Veh. Accid-Bus
05/19/2008,Phuket -  Thailand,Suicide
05/31/2008,Kanchanaburi -  Thailand,Other
06/06/2008,Bangkok -  Thailand,Other
06/15/2008,Bangkok -  Thailand,Homicide
07/16/2008,Bang Lamung -  Chonburi -  Thailand,Suicide
07/18/2008,Kratoo District -  Phuket -  Thailand,Homicide
09/18/2008,Suphan Buri -  Thailand,Veh. Accid-Auto
09/23/2008,Muang Phuket -  Thailand,Drowning
10/10/2008,Muang -  Chiang Mai -  Thailand,Veh. Accid-Motorcy.
10/21/2008,Wattana -  Bangkok -  Thailand,Suicide
11/09/2008,Sukhothai -  Thailand,Other Accident
11/20/2008,Chonburi -  Thailand,Suicide
11/21/2008,Bang Lamung -  Chonburi -  Thailand,Veh. Accid-Motorcy.
01/16/2009,Bangkok -  Thailand,Maritime Accident
02/02/2009,Bangkok -  Thailand,Other Accident
03/12/2009,Meuang -  Kanjanaburi -  Thailand,Veh. Accid-Motorcy.
03/25/2009,Muang District -  Surin -  Thailand,Other Accident
04/13/2009,Pasri Charoen -  Bangkok -  Thailand,Suicide
05/22/2009,Bangkok -  Thailand,Suicide
06/19/2009,Pattaya -  Chon Buri -  Thailand,Suicide
07/19/2009,Koh Pangan District - Suratthani Province -  Thailand,Drowning
07/31/2009,Phrae -  Thailand,Suicide
08/03/2009,Muang District - Phuket -  Thailand,Suicide
08/04/2009,Muang - Phuket -  Thailand,Suicide
08/04/2009,Muang - Phuket -  Thailand,Suicide
08/18/2009, -  Thailand,Veh. Accid-Auto
08/18/2009,Bang Lamung - Pattaya - Chonburi -  Thailand,Veh. Accid-Auto
08/29/2009,Lamphun - Lamphun -  Thailand,Veh. Accid-Motorcy.
10/04/2009,Chumphon -  Thailand,Veh. Accid-Auto
10/05/2009,Muang - Uttaradit -  Thailand,Veh. Accid-Motorcy.
10/15/2009,Chiang Mai -  Thailand - Chiang Mai - Chiang Mai -  Thailand,Other Accident
10/31/2009,Bang Kapi - Bangkok -  Thailand,Other Accident
10/31/2009,Muang Chiang Mai -  Thailand,Other Accident
11/07/2009,Muang  - Chiang Mai -  Thailand,Drowning
11/19/2009,Banglamung - Chon Buri -  Thailand,Suicide
11/23/2009,Chiang Mai -  Thailand,Other Accident
12/01/2009,Surat Thani -  Thailand,Veh. Accid-Motorcy.
01/27/2010,Klongtoey - Bangkok -  Thailand,Other Accident
02/05/2010,Rawai subdistrict - Muang - Phuket - Bangkok -  Thailand,Suicide
02/08/2010,Bangkok -  Thailand,Suicide
03/13/2010,Nakluea -  Bang Lamung - Chonburi -  Thailand,Veh. Accid-Motorcy.
03/18/2010,Chiang Mai - Chiang Mai -  Thailand,Drug-Related
03/22/2010,Pa Phayom -   - Phatthalung -  Thailand,Veh. Accid-Auto
04/08/2010,Hua Mark Subdistrict - Bangkok -  Thailand,Other Accident
04/16/2010,Muang - Udon Thani -  Thailand,Suicide
04/23/2010,Banglamung District - Chon Buri -  Thailand,Suicide
04/28/2010,Wang Thong Lang - Bangkok -  Thailand,Suicide
05/07/2010,A. Hangdong - Chiang Mai -  Thailand,Veh. Accid-Motorcy.
05/16/2010,Nakornsawan -  Thailand,Veh. Accid-Auto
05/21/2010,Muang  - Kampaengphet -  Thailand,Veh. Accid-Auto
06/11/2010,Muang - Kanchanaburi -  Thailand,Veh. Accid-Motorcy.
06/29/2010,Sattahip - Chonburi -  Thailand,Suicide
08/06/2010,Chiang Mai - Chiang Mai -  Thailand,Other Accident
08/14/2010, Rawai -  Muang - Phuket -  Thailand,Homicide
08/24/2010,Banglamung -  Chon Buri -  Thailand,Other Accident
08/28/2010,Bang Lamung -  Chonburi -  Thailand,Suicide
09/12/2010,Khlongtoei -  Bangkok -  Thailand,Suicide
09/14/2010,Bang Lamung -   Chonburi - Chonburi -  Thailand,Veh. Accid-Motorcy.
09/16/2010,Bangkok -  Thailand,Veh. Accid-Auto
10/01/2010, Kao Samui District -  Surat Thani -  Thailand,Suicide
10/27/2010,Muang -  Phuket -  Thailand,Suicide
11/01/2010,Bang Lamung -  Chonburi -  Thailand,Other Accident
11/09/2010,Khlong Toei -  Bangkok -  Thailand,Suicide
11/21/2010,Pakchong -  Nakhon Ratchasrima -  Thailand,Veh. Accid-Auto
12/03/2010, T. Umpang -  Tak -  Thailand,Veh. Accid-Motorcy.
12/05/2010,Changhan -  Roi Et -  Thailand,Veh. Accid-Motorcy.
12/28/2010,Bang Lamung -  Chonburi -  Thailand,Veh. Accid-Motorcy.
02/05/2011,Phromkhiri -  Nakhon Si Thammarat -  Thailand,Drowning
02/12/2011,Pak Chong -  Nakhon Ratchasima -  Thailand,Veh. Accid-Motorcy.
02/24/2011,A. Wichianburi -  Phetchabun -  Thailand,Veh. Accid-Other
04/01/2011,Chiang Mai -  Thailand,Suicide
04/11/2011,Muang -  Nakhon Ratchasima -  Thailand,Other Accident
