Date,City,Cause of Death
08/02/2007,Tres Rios De Coronadp -  Osa -  Puntarenas -  Costa Rica,Veh. Accid-Auto
08/03/2007,Huacas De Santa Cruz -  Guanacaste -  Costa Rica,Veh. Accid-Auto
10/24/2007,Cahuita -  Limon -  Costa Rica,Drowning
10/28/2007,San Jose -  Costa Rica,Homicide
01/05/2008,Quepos -  Puntarenas -  Costa Rica,Other Accident
01/10/2008,Heredia -  Costa Rica,Veh. Accid-Motorcy.
01/11/2008,Tamarindo Beach -  Santa Cruz -  Guanacaste -  Costa Rica,Drowning-Beach
01/12/2008,Liberia -  Guanacaste -  Costa Rica,Suicide
02/02/2008,Manuel Antonia Beach -  Quepos -  Puntarenas -  Costa Rica,Drowning-Beach
02/05/2008,San Jose -  Costa Rica,Veh. Accid-Motorcy.
02/07/2008,Cahuita Beach -  Limon -  Costa Rica,Drowning-Beach
02/11/2008,Santa Cruz -  Guanacaste -  Costa Rica,Drug-Related
02/13/2008,Cocles Beach -  Cahuita -  Limon -  Costa Rica,Drowning-Beach
02/29/2008,San Jose -  Costa Rica,Suicide
03/01/2008,Cocles -  Talamanca -  Limon -  Costa Rica,Drowning-Beach
05/04/2008,Arenal Lake -  Tilaran -  Guanacaste -  Costa Rica,Drowning-Lake
05/31/2008,Jaco - puntarenas -  Costa Rica,Suicide
06/12/2008,Estero Beach -  Limon -  Costa Rica,Drowning-Beach
06/20/2008,Puntarenas -  Costa Rica,Suicide



